# packages in environment at /home/mtech/miniconda3/envs/rachitlleqa:
#
# Name                       Version          Build            Channel
_libgcc_mutex                0.1              main
_openmp_mutex                5.1              1_gnu
accelerate                   1.0.1            pypi_0           pypi
aiohappyeyeballs             2.4.4            pypi_0           pypi
aiohttp                      3.10.11          pypi_0           pypi
aiosignal                    1.3.1            pypi_0           pypi
annotated-types              0.7.0            pypi_0           pypi
anyio                        4.5.2            pypi_0           pypi
asttokens                    3.0.0            pypi_0           pypi
async-timeout                4.0.3            pypi_0           pypi
attrs                        25.3.0           pypi_0           pypi
backcall                     0.2.0            pypi_0           pypi
beautifulsoup4               4.13.4           pypi_0           pypi
bleach                       6.1.0            pypi_0           pypi
blis                         0.7.11           pypi_0           pypi
ca-certificates              2025.2.25        h06a4308_0
catalogue                    1.0.2            pypi_0           pypi
certifi                      2025.4.26        pypi_0           pypi
charset-normalizer           3.4.1            pypi_0           pypi
click                        8.1.8            pypi_0           pypi
contourpy                    1.1.1            pypi_0           pypi
cycler                       0.12.1           pypi_0           pypi
cymem                        2.0.11           pypi_0           pypi
datasets                     3.1.0            pypi_0           pypi
decorator                    5.2.1            pypi_0           pypi
defusedxml                   0.7.1            pypi_0           pypi
dill                         0.3.8            pypi_0           pypi
docker-pycreds               0.4.0            pypi_0           pypi
docopt                       0.6.2            pypi_0           pypi
eval-type-backport           0.2.2            pypi_0           pypi
evaluate                     0.4.4            pypi_0           pypi
exceptiongroup               1.2.2            pypi_0           pypi
executing                    2.2.0            pypi_0           pypi
fastjsonschema               2.21.1           pypi_0           pypi
filelock                     3.13.1           pypi_0           pypi
fonttools                    4.57.0           pypi_0           pypi
fr-core-news-md              2.3.0            pypi_0           pypi
frozenlist                   1.5.0            pypi_0           pypi
fsspec                       2024.6.1         pypi_0           pypi
gitdb                        4.0.12           pypi_0           pypi
gitpython                    3.1.44           pypi_0           pypi
greenlet                     3.1.1            pypi_0           pypi
h11                          0.16.0           pypi_0           pypi
httpcore                     1.0.9            pypi_0           pypi
httpx                        0.28.1           pypi_0           pypi
huggingface-hub              0.30.2           pypi_0           pypi
idna                         3.10             pypi_0           pypi
importlib-metadata           8.5.0            pypi_0           pypi
importlib-resources          6.4.5            pypi_0           pypi
ipython                      8.12.3           pypi_0           pypi
jedi                         0.19.2           pypi_0           pypi
jinja2                       3.1.4            pypi_0           pypi
joblib                       1.4.2            pypi_0           pypi
jsonpatch                    1.33             pypi_0           pypi
jsonpointer                  3.0.0            pypi_0           pypi
jsonschema                   4.23.0           pypi_0           pypi
jsonschema-specifications    2023.12.1        pypi_0           pypi
jupyter-client               8.6.3            pypi_0           pypi
jupyter-core                 5.8.1            pypi_0           pypi
jupyterlab-pygments          0.3.0            pypi_0           pypi
kiwisolver                   1.4.7            pypi_0           pypi
langchain                    0.2.17           pypi_0           pypi
langchain-core               0.2.43           pypi_0           pypi
langchain-text-splitters     0.2.4            pypi_0           pypi
langsmith                    0.1.147          pypi_0           pypi
ld_impl_linux-64             2.40             h12ee557_0
libffi                       3.4.4            h6a678d5_1
libgcc-ng                    11.2.0           h1234567_1
libgomp                      11.2.0           h1234567_1
libstdcxx-ng                 11.2.0           h1234567_1
markupsafe                   2.1.5            pypi_0           pypi
matplotlib                   3.7.5            pypi_0           pypi
matplotlib-inline            0.1.7            pypi_0           pypi
mistune                      3.1.3            pypi_0           pypi
mpmath                       1.3.0            pypi_0           pypi
multidict                    6.1.0            pypi_0           pypi
multiprocess                 0.70.16          pypi_0           pypi
murmurhash                   1.0.12           pypi_0           pypi
nbclient                     0.10.1           pypi_0           pypi
nbconvert                    7.16.6           pypi_0           pypi
nbformat                     5.10.4           pypi_0           pypi
ncurses                      6.4              h6a678d5_0
networkx                     3.0              pypi_0           pypi
nltk                         3.9.1            pypi_0           pypi
numpy                        1.24.4           pypi_0           pypi
nvidia-cublas-cu11           11.11.3.6        pypi_0           pypi
nvidia-cuda-cupti-cu11       11.8.87          pypi_0           pypi
nvidia-cuda-nvrtc-cu11       11.8.89          pypi_0           pypi
nvidia-cuda-runtime-cu11     11.8.89          pypi_0           pypi
nvidia-cudnn-cu11            9.1.0.70         pypi_0           pypi
nvidia-cufft-cu11            10.9.0.58        pypi_0           pypi
nvidia-curand-cu11           10.3.0.86        pypi_0           pypi
nvidia-cusolver-cu11         11.4.1.48        pypi_0           pypi
nvidia-cusparse-cu11         11.7.5.86        pypi_0           pypi
nvidia-nccl-cu11             2.20.5           pypi_0           pypi
nvidia-nvtx-cu11             11.8.86          pypi_0           pypi
openssl                      3.0.16           h5eee18b_0
orjson                       3.10.15          pypi_0           pypi
packaging                    24.2             pypi_0           pypi
pandas                       2.0.3            pypi_0           pypi
pandocfilters                1.5.1            pypi_0           pypi
parso                        0.8.4            pypi_0           pypi
pexpect                      4.9.0            pypi_0           pypi
pickleshare                  0.7.5            pypi_0           pypi
pillow                       10.4.0           pypi_0           pypi
pip                          25.0.1           pypi_0           pypi
pipreqs                      0.5.0            pypi_0           pypi
pkgutil-resolve-name         1.3.10           pypi_0           pypi
plac                         1.1.3            pypi_0           pypi
platformdirs                 4.3.6            pypi_0           pypi
preshed                      3.0.9            pypi_0           pypi
prompt-toolkit               3.0.51           pypi_0           pypi
propcache                    0.2.0            pypi_0           pypi
protobuf                     5.29.4           pypi_0           pypi
psutil                       7.0.0            pypi_0           pypi
ptyprocess                   0.7.0            pypi_0           pypi
pure-eval                    0.2.3            pypi_0           pypi
pyarrow                      17.0.0           pypi_0           pypi
pydantic                     2.10.6           pypi_0           pypi
pydantic-core                2.27.2           pypi_0           pypi
pygments                     2.19.2           pypi_0           pypi
pyparsing                    3.1.4            pypi_0           pypi
python                       3.8.20           he870216_0
python-dateutil              2.9.0.post0      pypi_0           pypi
pytorch-ranger               0.1.1            pypi_0           pypi
pytz                         2025.2           pypi_0           pypi
pyyaml                       6.0.2            pypi_0           pypi
pyzmq                        27.0.1           pypi_0           pypi
rank-bm25                    0.2.2            pypi_0           pypi
readline                     8.2              h5eee18b_0
referencing                  0.35.1           pypi_0           pypi
regex                        2024.11.6        pypi_0           pypi
requests                     2.32.3           pypi_0           pypi
requests-toolbelt            1.0.0            pypi_0           pypi
rpds-py                      0.20.1           pypi_0           pypi
safetensors                  0.5.3            pypi_0           pypi
scikit-learn                 1.3.2            pypi_0           pypi
scipy                        1.10.1           pypi_0           pypi
seaborn                      0.13.2           pypi_0           pypi
sentence-transformers        3.2.1            pypi_0           pypi
sentry-sdk                   2.27.0           pypi_0           pypi
setproctitle                 1.3.5            pypi_0           pypi
setuptools                   75.3.2           pypi_0           pypi
six                          1.17.0           pypi_0           pypi
smmap                        5.0.2            pypi_0           pypi
sniffio                      1.3.1            pypi_0           pypi
soupsieve                    2.7              pypi_0           pypi
spacy                        2.3.5            pypi_0           pypi
sqlalchemy                   2.0.40           pypi_0           pypi
sqlite                       3.45.3           h5eee18b_0
srsly                        1.0.7            pypi_0           pypi
stack-data                   0.6.3            pypi_0           pypi
sympy                        1.13.3           pypi_0           pypi
tenacity                     8.5.0            pypi_0           pypi
thinc                        7.4.6            pypi_0           pypi
threadpoolctl                3.5.0            pypi_0           pypi
tinycss2                     1.2.1            pypi_0           pypi
tk                           8.6.14           h39e8969_0
tokenizers                   0.20.3           pypi_0           pypi
torch                        2.4.1+cu118      pypi_0           pypi
torch-optimizer              0.3.0            pypi_0           pypi
tornado                      6.4.2            pypi_0           pypi
tqdm                         4.67.1           pypi_0           pypi
traitlets                    5.14.3           pypi_0           pypi
transformers                 4.46.3           pypi_0           pypi
triton                       3.0.0            pypi_0           pypi
typing                       3.7.4.3          pypi_0           pypi
typing-extensions            4.12.2           pypi_0           pypi
tzdata                       2025.2           pypi_0           pypi
urllib3                      2.2.3            pypi_0           pypi
wandb                        0.19.10          pypi_0           pypi
wasabi                       0.10.1           pypi_0           pypi
wcwidth                      0.2.13           pypi_0           pypi
webencodings                 0.5.1            pypi_0           pypi
wheel                        0.45.1           pypi_0           pypi
xxhash                       3.5.0            pypi_0           pypi
xz                           5.6.4            h5eee18b_1
yarg                         0.1.9            pypi_0           pypi
yarl                         1.15.2           pypi_0           pypi
zipp                         3.20.2           pypi_0           pypi
zlib                         1.2.13           h5eee18b_1
